price;rating;rating_DEC-100;rating_GP;rating_GR;rating_JR;rating_JS;rating_LM;rating_RP;rating_TA;rating_VIN;rating_Vivino;rating_W&S;rating_WE;rating_WS;region_1;region_2;region_3;title;volume
1251;8.4;;;;;;;;;;3.9;;;;США;Калифорния;;"Boutinot, ""The Big Top"" Zinfandel Red, 2017";0.75
840;8.3;;;;;;;;;;3.8;;;;Франция;Лангедок-Руссийон;Минервуа;"""Le Grand Noir"" Malbec, Pays d'Oc IGP, 2018";0.75
785;7.0;;;;;;;;;;3.9;;;;Франция;Лангедок-Руссийон;Кото дю Лангедок;"Tutti Frutti, ""Arrogant Frog"" Blanc, 2018";0.75
696;7.4;;;;;90;;;;;3.7;;;;Испания;Кастилия Ла Манча;;"""FYI"" Red Blend";0.75
560;9.0;;;;;;;;;;3.8;;;;Италия;Венето;Венеция;Cielo e Terra, Trebbiano-Pinot Grigio, 2018;0.75
786;;;;;;;;;;;3.5;;;;ЮАР;Западный Кейп;;"KWV, ""Classic Collection"" Chardonnay, 2018";0.75
874;7.3;;;;;;;;;;3.8;;;;Франция;Лангедок-Руссийон;;"""Marquieres"" Vendanges d'Une Nuit, Languedoc-Roussillon IGP";0.75
740;8.2;;;;;;;;;;3.6;;;;Португалия;Дору;;"Sogrape Vinhos, ""Gazela"" Rose";0.75
555;6.2;;;;;;;;;;3.4;;;;Италия;Венето;;"Fratelli Martini, ""Sant'Orsola"" Pinot Grigio delle Venezie DOC";0.75
957;7.6;;;;;;;;;;4.2;;;;Италия;Венето;Венеция;"Tenuta Valleselle, ""Arnasi"" Pinot Grigio delle Venezie IGP";0.75
660;6.0;;;;;;;;;;3.2;;;;Италия;Тоскана;Кьянти;"Fratelli Martini, ""Sant'Orsola"" Chianti DOCG";0.75
640;;;;;;;;;;;3.8;;;;Италия;Венето;Венеция;"Cielo e Terra, Pinot Grigio ""Blush"" IGT, 2018";0.75
990;10.0;;;;;;;;;;4;;;;США;Калифорния;;Fetzer, Zinfandel, Valley Oaks, 2018;0.75
762;8.1;;;;;;;;;;3.5;;;;Испания;Риоха;Риоха Альта;"Patrocinio, ""Sancho Garces"" Tempranillo, Rioja DOC";0.75
1214;8.8;;;;;;;;;;4;;;;Италия;Апулия;Саленто;"Cantine San Giorgio, ""WhyNot?!"" Zinfandel, Salento IGP";0.75
1102;10.0;;;;;;;;;;4;;;;Франция;Лангедок-Руссийон;;"Les Jamelles, ""Cepage Rare"" Malbec, Pays d'Oc IGP, 2018";0.75
613;8.8;;;;;;;;;;3.7;;;;Израиль;Галилея;;Barkan, Semillon Monfort;0.75
947;8.8;;;;;;;;;;4;;;;Германия;Пфальц;;A. Diehl, Gewurztraminer;0.75
1107;7.0;;;;;;;;;;3.8;;;;Грузия;Кахетия;;Askaneli Brothers, Rkatsiteli Qvevri, gift box;0.75
954;8.1;;;;;;;;;;3.6;;;;Австрия;Нижняя Австрия;;Lenz Moser, Gruner Veltliner, 1 л;1
1140;7.9;;;;;;;;;;4.3;;;;Новая Зеландия;Мальборо;;"Misty Cove, ""Paddle Creek"" Sauvignon Blanc, 2018";0.75
692;5.7;;;;;;;;;;4;;;;Италия;Апулия;Пулья;Barbanera Since 1938, Negroamaro-Primitivo, Puglia IGT;0.75
786;8.3;;;;;;;;;;3.6;;;;ЮАР;Западный Кейп;;"KWV, ""Classic Collection"" Pinotage";0.75
864;;;;;;;;;;;3.8;;;;Италия;Тоскана;Кьянти;"Settesoli, ""Rondone"" Chianti DOCG, 2017";0.75
957;8.2;;;;16.5;;;;;;3.8;;;;Грузия;Кахетия;Киндзмараули;"""Тамада"" Киндзмараули";0.75
972;7.2;;;;;;;;;;3.5;;;90;Италия;Тоскана;Тоскана IGT;Cecchi, Sangiovese, Toscana IGT, 2016;0.75
561;9.2;;;;;;;;;;4;;;;Македония;;;Stobi, Makedonsko Crveno, 1 л;1
820;8.2;;;;;;;;;;3.8;;;;Франция;Лангедок-Руссийон;Минервуа;"""Le Grand Noir"" Rose, Pays d'Oc IGP, 2018";0.75
1295;;;;;;;;;90;;3.9;;;;Испания;Риоха;Риоха Альта;Bodegas Ramon Bilbao, Crianza, Rioja DOC, 2016;0.75
590;6.4;;;;;;;;;;2.9;;;;Италия;Лацио;;Tusculum Rosso Semi Sweet VdT;0.75
690;6.1;;;;;;;;;;3.7;;;;Италия;Сицилия;;"""Bruni"" Nero d'Avola, Sicilia DOC";0.75
840;7.0;;;;;;;;;;3.9;;;;Франция;Лангедок-Руссийон;Минервуа;"""Le Grand Noir"" Chardonnay, Pays d'Oc IGP, 2018";0.75
840;8.0;;;;;;;;;;3.9;;;;Франция;Лангедок-Руссийон;Минервуа;"""Le Grand Noir"" GSM, Pays d'Oc IGP, 2017";0.75
921;10.0;;;;;;;;;;3.8;;;;Чили;Центральная Долина;Кольчагуа;Viu Manent, Chardonnay Reserva, 2018;0.75
1740;8.0;;;;;;;;;;4.3;;;;Италия;Трентино-Альто Адидже;Виньети делле Доломити (Вайнберг Доломитен);"""Pfefferer"" Weinberg Dolomiten IGT, 2018";0.75
740;;;;;;;;;;;;;;;Италия;Апулия;Пулья;"Cielo e Terra, ""Primasole"" Primitivo, Puglia IGT, 2018";0.75
534;8.8;;;;;;;;;;3.2;;;;Чили;Центральная Долина;;"Concha y Toro, ""Frontera"" Sauvignon Blanc";0.75
840;10.0;;;;;;;;;;3.8;;;;Германия;Пфальц;;Hans Baer, Riesling, 2018;0.75
866;8.5;;;;;;;;;;4;;;;Португалия;Винью Верде;;"Calcada, ""Lago"" Rose, Vinho Verde DOC";0.75
673;7.0;;;;;;;;;;3.9;;;;Грузия;Кахетия;;Mildiani, Saperavi;0.75
1099;7.0;;;;;;;;;;3.9;;;;Италия;Сардиния;Верментино ди Сардиния;Vigneti Zanatta, Vermentino di Sardegna DOC, 2018;0.75
1399;7.4;;;;;;;;;;4;;;;Грузия;Кахетия;;Askaneli Brothers, Saperavi Premium;0.75
820;8.4;;;;;;;;;;4;;;;Новая Зеландия;Мальборо;;"""Aotearoa"" Sauvignon Blanc";0.75
928;6.0;;;;;;;;;;2.1;;;;Испания;;;"Elivo, ""Cardio Zero"" Tinto, No Alcohol";0.75
737;7.0;;;;;;;;;;3.5;;83;;Испания;Валенсия;Утель-Рекена;"Vicente Gandia, ""Finca del Mar"" Chardonnay, Utiel-Requena DO, 2017";0.75
1665;7.8;;;;;;;;;;3.9;;;;Грузия;;;Mildiani, Rkatsiteli Kvevri;0.75
723;8.8;;;;;;;;;;4.5;;;;Грузия;Кахетия;;Mildiani, Tvishi;0.75
920;9.1;;;;;;;;;;3.8;;;;Австралия;Юго-Восточная Австралия;;"""Tussock Jumper"" Shiraz";0.75
510;9.0;;;;;;;;;;4.1;;;;Италия;Венето;;"""Freschello"" Bianco Sweet";0.75
776;8.3;;;;;;;;;;4;;;;Франция;Лангедок-Руссийон;;"FDL, ""La Croix du Pin"" Muscat, Pays d'Oc IGP";0.75
630;;;;;;;;;;;4;;;;Франция;Лангедок-Руссийон;Минервуа;"""Le Grand Noir"" Cabernet Sauvignon, Pays d'Oc IGP, 2018";0.75
902;6.0;;;;;;;;;;3.4;;;;Новая Зеландия;Мальборо;;Brancott Estate, Pinot Noir, Marlborough;0.75
983;;;;;;;;;;;4;;;;Италия;Венето;Верона;"Tenuta Valleselle, ""Ripa Magna"", Corvina della Provincia di Verona IGP";0.75
1593;7.0;;;;;;;;;;3.8;;;;США;Калифорния;;"""Gnarly Head"" Old Vine Zinfandel, 2017";0.75
994;5.8;;;;;;;90;;;3.7;;;;Франция;Лангедок-Руссийон;Кот дю Руссийон;M. Chapoutier, Les Vignes de Bila-Haut, Cotes du Roussillon AOC, 2017;0.75
595;7.0;;;;;;;;;;3.5;;;;Грузия;;;Badagoni, Saperavi;0.75
534;7.2;;;;;;;;;;3.2;;;;Чили;Центральная Долина;;"Concha y Toro, ""Frontera"" Chardonnay";0.75
2372;7.8;;;;;;;;;;4.2;;;;Грузия;Рача;;Chateau Mukhrani, Khvanchkara AOC;0.75
696;7.0;;;;;;;;;;3.9;;;;Испания;Кастилия Ла Манча;;"""Mucho Mas"" Tempranillo, La Mancha DO";0.75
765;;;;;;;;;;;;;;;Италия;Венето;Венеция;"""Sanvigilio"" Pinot Grigio Rose, Venezie IGT, 2018";0.75
1460;8.3;;;;;;;;;;4.1;;;;Франция;Эльзас;;Julien Riehl, Gewurztraminer, Alsace AOP;0.75
1401;10.0;;;;;;;;;;3.9;;;;Италия;Тоскана;Тоскана IGT;"""Villa Antinori"" Bianco, Toscana IGT, 2018";0.75
1005;7.5;;;;;;;;;;3.5;;;;Израиль;Галилея;;"Barkan, ""Classic"" Shiraz";0.75
720;;;;;;;;;;;3.5;;;;Грузия;Кахетия;Мукузани;Вазиани, Мукузани;0.75
1399;8.8;;;;;;;;;;3.8;;;;ЮАР;Западный Кейп;Стелленбош;Simonsig, Pinotage, 2016;0.75
822;10.0;;;;;;;;;;3.7;;;;Португалия;Лиссабон;;"Quinta do Conde, ""Galodoro"" Reserva, 2016";0.75
1081;7.5;;;;;;;;;;2.7;;;;Испания;;;"Elivo, ""Zero Zero"" Deluxe Tinto, No Alcohol";0.75
869;5.5;;;;;;;;;;3.9;;;;Италия;Эмилия-Романья;Эмилия;"Il Poggiarello, ""Perticato Il Quadri"" Sauvignon IGT";0.75
897;8.0;;;;;;;;;;3.6;;;;Чили;Центральная Долина;Долина Маипо;"""Casillero del Diablo"" Carmenere Reserva";0.75
590;8.4;;;;;;;;;;3.3;;;;Испания;;;"Bodegas Milenium, ""Vega del Campo"" Tempranillo";0.75
907;;;;;;;;;;;;;;;Франция;Лангедок-Руссийон;;"""King Rabbit"" Merlot, Pays d'Oc IGP, 2018";0.75
720;;;;;;;;;;;3.9;;;;Италия;;;"""Astrale"" Bianco";0.75
640;;;;;;;;;;;3.5;;;;ЮАР;Западный Кейп;;"""Deep Creek"" Pinotage";0.75
672;6.8;;;;;;;;;;3.9;;;;Германия;Мозель-Саар-Рувер;;"""Weinhaus Schneider"" Riesling Halbtrocken";0.75
990;7.0;;;;;;;;;;;;;;Аргентина;Мендоса;Лухан де Куйо;"Malbec Finca ""La Linda"", 2018";0.75
